   1 	     7.2983 
   2 	    14.7204 
   3 	    22.2166 
   4 	    29.7444 
   5 	    37.3042 
   6 	    44.8317 
   7 	    52.3357 
   8 	    59.8157 
   9 	    67.3115 
  10 	    74.8473 
  11 	    82.3432 
  12 	    89.8149 
  13 	    97.3748 
  14 	   104.9026 
  15 	   112.3665 
  16 	   119.9183 
  17 	   127.4223 
  18 	   135.2358 
  19 	   142.4859 
  20 	   150.0136 
  21 	   157.5022 
  22 	   164.9972 
  23 	   172.5330 
  24 	   180.0288 
  25 	   187.6369 
  26 	   195.0925 
  27 	   202.8684 
  28 	   210.1002 
  29 	   217.6759 
  30 	   225.1396
