L30cm   eL30cm      L2m     eL2m
---------------------------------
3.36    0.005       3.364   0.002
3.385   0.01        3.32    0.005
3.36    0.07        3.37    0.01
3.76    0.05        3.36    0.03
3.6     0.01        3.365   0.005
3.375   0.03        3.35    0.02
3.373   0.005       3.367   0.005
3.75    0.05        3.36    0.02
3.37    0.01        3.365   0.005
3.36    0.06        3.36    0.01
3.36    0.01        3.358   0.004
3.36    0.02        3.365   0.002
3.38    0.03        3.36    0.005
3.363   0.01        3.36    0.01
3.363   0.05        3.348   0.02
3.364   0.035       3.361   0.011
3.354   0.022       3.365   0.007
3.35    0.02        3.37    0.005
3.34    0.015       3.365   0.01
3.664   0.01        3.666   0.05
3.36    0.01        3.36    0.003
3.379   0.02        3.365   0.005
3.357   0.03        3.362   0.01
3.377   0.015       3.365   0.005
3.364   0.001       3.575   0.002
3.358   0.002       3.366   0.005
3.368   0.004       3.362   0.003
3.345   0.01        3.36    0.005
3.367   0.003       3.363   0.002
3.35    0.06        3.37    0.02
3.368   0.002       3.366   0.002
3.359   0.008       3.365   0.004
3.366   0.01        3.363   0.002
3.372   0.02        3.362   0.009
3.38    0.01        3.36    0.004
