L30cm	eL30cm	L2m	eL2m
--------------------------------
3.345	0.011	3.361	0.002
3.067	0.005	3.364	0.003
3.374	0.03	3.371	0.01
3.045	0.02	3.353	0.05
3.372	0.04	3.36	0.02
3.366	0.011	3.366	0.003
3.379	0.011	3.34	0.025
3.349	0.065	3.362	0.005
3.064	0.001	3.367	0.001
3.376	0.045	3.365	0.003
3.364	0.015	3.362	0.01
3.377	0.022	3.364	0.004
3.375	0.055	3.357	0.045
3.355	0.009	3.372	0.0011
3.367	0.006	3.364	0.005
3.36	0.1	3.37	0.02
3.378	0.02	3.369	0.004
3.355	0.022	3.364	0.002
1.275	0.003	1.397	0.003
3.065	0.002	3.364	0.001
3.335	0.015	3.337	0.01
3.363	0.02	3.36	0.005
3.365	0.013	3.365	0.002
3.35	0.015	3.365	0.01
3.365	0.03	3.366	0.02
3.384	0.015	3.366	0.01
3.378	0.01	3.367	0.005
3.371	0.05	3.363	0.009
4.004	0.03	3.362	0.05
3.366	0.111	3.364	0.015
3.367	0.006	3.368	0.002
3.364	0.014	3.364	0.003
3.362	0.111	3.365	0.02
3.388	0.025	3.367	0.007
3.955	0.055	3.605	0.015
3.35	0.01	3.362	0.005
3.35	0.05	3.37	0.02
3.367	0.035	3.368	0.006
3.368	0.01	3.36	0.0014
3.071	0.022	3.362	0.006
3.37	0.005	3.35	0.005
3.344	0.024	3.356	0.005
3.366	0.032	3.307	0.005
3.355	0.011	3.363	0.002
3.215	0.011	3.373	0.002
