L30cm   eL30cm      L2m     eL2m
---------------------------------
3.365   0.005       3.365   0.001 
3.370   0.001       3.360   0.003 
3.361   0.100       3.364   0.003 
3.364   0.010       3.360   0.002 
3.400   0.100       3.360   0.050 
3.060   0.050       3.060   0.005 
3.365   0.020       3.365   0.010 
3.000   0.100       3.350   0.020 
3.400   0.150       3.370   0.050 
3.350   0.120       3.365   0.005 
3.350   0.050       3.360   0.010 
3.390   0.020       3.360   0.005 
3.400   0.100       3.370   0.050 
3.050   0.050       3.350   0.050 
3.367   0.004       3.364   0.001 
3.350   0.100       3.370   0.050 
3.400   0.330       3.350   0.050 
3.370   0.020       3.360   0.005 
3.300   0.030       3.750   0.020 
3.363   0.012       3.364   0.002 
3.360   0.020       3.363   0.002 
3.330   0.020       3.360   0.010 
3.670   0.015       3.360   0.010 
3.370   0.010       3.365   0.005 
