L30cm   eL30cm      L2m     eL2m
--------------------------------
3.394   0.05        3.421   0.05
3.467   0.012       3.370   0.02
3.070   0.01        3.355   0.005
3.354   0.020       3.358   0.005
3.065   0.020       3.064   0.005
3.362   0.006       3.364   0.003
3.000   0.070       3.000   0.350
3.357   0.010       3.360   0.002
3.074   0.011       -1      -1
3.365   -1          3.369   -1
3.390   0.15        3.360   0.050
3.3601  0.005       3.3702  0.005
3.363   0.050       3.353   0.030
3.3600  0.004       3.358   0.004
3.393   -1          3.367   -1
3.363   0.012       3.362   0.009
3.445   0.100       3.365   0.020
3.367   0.022       3.366   0.015
3.366   0.006       3.364   0.002
3.348   0.015       3.341   0.010
3.471   0.005       3.357   0.003
3.147   0.005       3.362   0.001
3.363   0.005       3.364   0.005
3.365   0.010       3.365   0.005
3.365   0.005       3.365   0.001
3.3725  -1          3.363   -1
3.390   0.010       3.360   0.02
3.375   0.005       3.362   0.005
3.358   0.010       3.370   0.1
3.3600  0.44        3.36    0.03
3.368   0.1         3.366   0.1
3.367   0.002       3.365   0.001
3.364   0.05        3.365   0.01
3.367   0.007       3.365   0.002
3.364   0.005       3.366   0.002
3.349   0.011       3.366   0.001
3.365   0.006       3.364   0.005
3.367   0.002       3.3615  0.001
2.921   0.031       3.312   0.015
3.363   0.001       3.363   0.0005
3.664   0.055       3.360   0.005
3.640   0.012       3.660   0.012
3.360   -1          3.370   -1
3.360   0.012       3.370   0.002
3.347   0.001       3.355   0.001
3.345   0.007       3.362   0.0023
3.350   0.050       3.358   0.010
3.373   0.012       3.361   0.002
3.365   0.0005      3.365   0.002
3.365   0.005       3.36    0.01
3.364   0.001       3.363   0.001
3.35    0.3         3.41    0.5
3.365   0.01        3.362   0.005
3.376   0.005       3.750   0.005
3.369   0.01        3.3615  0.04
3.357   0.01        3.365   0.005
3.359   0.011       3.364   0.020
3.364   0.008       3.363   0.003
3.361   0.01        3.365   0.005
3.362   0.012       3.363   0.005
3.365   0.012       3.363   0.005
3.363   0.001       3.365   0.005
3.362   0.01        3.357   0.005
