L30cm   eL30cm      L2m     eL2m
---------------------------------
3.355   0.005       3.365   0.002 
3.250   0.050       3.365   0.001 
3.062   0.011       1.366   0.004 
3.359   0.007       3.363   0.004 
3.355   0.030       3.363   0.020 
3.352   0.015       1.365   0.010 
3.360   0.010       3.365   0.002 
3.359   0.002       3.361   0.001 
3.350   0.010       3.365   0.005 
3.350   0.005       3.354   0.005 
3.360   0.040       3.365   0.002 
3.356   0.006       3.366   0.002 
3.352   0.030       3.366   0.003 
3.357   0.030       3.364   0.003 
3.170   0.008       3.363   0.002 
3.350   0.011       3.363   0.003 
3.356   0.010       3.356   0.003 
