0.000	0.179
0.010	0.182
0.020	0.198
0.030	0.207
0.040	0.217
0.050	0.229
0.060	0.238
0.070	0.240
0.080	0.247
0.090	0.251
0.100	0.251
0.110	0.249
0.120	0.249
0.130	0.243
0.140	0.235
0.150	0.229
0.160	0.221
0.170	0.212
0.180	0.202
0.190	0.186
0.200	0.172
0.210	0.158
0.220	0.145
0.230	0.130
0.240	0.107
0.250	0.090
0.260	0.072
0.270	0.055
0.280	0.036
0.290	0.012
0.300	-0.001
0.310	-0.019
0.320	-0.043
0.330	-0.055
0.340	-0.073
0.350	-0.087
0.360	-0.101
0.370	-0.110
0.380	-0.125
0.390	-0.134
0.400	-0.147
0.410	-0.153
0.420	-0.158
0.430	-0.162
0.440	-0.165
0.450	-0.165
0.460	-0.161
0.470	-0.165
0.480	-0.160
0.490	-0.154
0.500	-0.150
0.510	-0.140
0.520	-0.133
0.530	-0.121
0.540	-0.109
0.550	-0.096
0.560	-0.082
0.570	-0.064
0.580	-0.052
0.590	-0.033
0.600	-0.017
0.610	-0.001
0.620	0.017
0.630	0.036
0.640	0.055
0.650	0.073
0.660	0.087
0.670	0.106
0.680	0.122
0.690	0.139
0.700	0.148
0.710	0.165
0.720	0.178
0.730	0.184
0.740	0.198
0.750	0.207
0.760	0.216
0.770	0.223
0.780	0.229
0.790	0.226
0.800	0.230
0.810	0.226
0.820	0.226
0.830	0.226
0.840	0.220
0.850	0.216
0.860	0.204
0.870	0.197
0.880	0.188
0.890	0.178
0.900	0.164
0.910	0.147
0.920	0.134
0.930	0.119
0.940	0.103
0.950	0.086
0.960	0.071
0.970	0.057
0.980	0.038
0.990	0.020
1.000	0.005
1.010	-0.012
1.020	-0.029
1.030	-0.041
1.040	-0.057
1.050	-0.072
1.060	-0.083
1.070	-0.098
1.080	-0.109
1.090	-0.119
1.100	-0.127
1.110	-0.136
1.120	-0.141
1.130	-0.146
1.140	-0.149
1.150	-0.151
1.160	-0.146
1.170	-0.146
1.180	-0.144
1.190	-0.139
1.200	-0.134
1.210	-0.125
1.220	-0.118
1.230	-0.110
1.240	-0.098
1.250	-0.087
1.260	-0.071
1.270	-0.059
1.280	-0.047
1.290	-0.029
1.300	-0.016
1.310	0.002
1.320	0.015
1.330	0.032
1.340	0.055
1.350	0.069
1.360	0.084
1.370	0.101
1.380	0.111
1.390	0.125
1.400	0.140
1.410	0.154
1.420	0.163
1.430	0.175
1.440	0.186
1.450	0.189
1.460	0.195
1.470	0.207
1.480	0.210
1.490	0.214
1.500	0.214
1.510	0.214
1.520	0.212
1.530	0.212
1.540	0.205
1.550	0.199
1.560	0.193
1.570	0.184
1.580	0.180
1.590	0.167
1.600	0.158
1.610	0.142
1.620	0.129
1.630	0.118
1.640	0.099
1.650	0.088
1.660	0.072
1.670	0.057
1.680	0.043
1.690	0.022
1.700	0.008
1.710	-0.004
1.720	-0.022
1.730	-0.035
1.740	-0.049
1.750	-0.062
1.760	-0.075
1.770	-0.089
1.780	-0.100
1.790	-0.103
1.800	-0.113
1.810	-0.125
1.820	-0.125
1.830	-0.132
1.840	-0.135
1.850	-0.137
1.860	-0.139
1.870	-0.134
1.880	-0.135
1.890	-0.130
1.900	-0.122
1.910	-0.115
1.920	-0.109
1.930	-0.097
1.940	-0.090
1.950	-0.079
1.960	-0.066
