L30cm   eL30cm      L2m     eL2m
---------------------------------
3.365   0.030       3.365   0.010
3.350   0.024       3.364   0.004
3.365   0.005       3.360   0.005
3.340   0.055       3.360   0.010
3.155   0.050       3.360   0.010
3.382   0.025       3.361   0.002
3.070   0.030       3.365   0.002
3.417   0.015       3.366   0.010
3.366   0.020       3.364   0.005
3.357   0.010       3.357   0.010
3.369   0.005       3.364   0.005
3.367   0.008       3.364   0.008
3.360   0.005       3.360   0.005
3.369   0.020       3.360   0.005
3.133   0.022       3.363   0.004
3.349   0.020       3.341   0.010
3.356   0.050       3.364   0.050
3.360   0.080       3.410   0.080
3.369   0.012       3.364   0.012
3.480   0.070       3.036   0.040
3.260   0.100       3.360   0.050
3.445   0.050       3.350   0.001
3.470   0.056       3.360   0.030
3.366  -1.0         3.362  -1.0
3.357   0.070       3.364   0.010
3.365   0.033       3.362   0.005
3.0645  0.300       3.3637  0.010
3.351   0.020       3.360   0.030
3.371   0.004       3.365   0.003
2.670   0.010       3.036   0.005
3.340   0.025       3.360   0.010
3.366  -1.0         3.364  -1.0
2.563   0.020       2.363   0.005
3.361   0.030       3.360   0.005
3.368   0.030       3.361   0.004
3.355   0.020       3.365   0.010
3.364   0.005       3.364   0.002
3.360   0.050       3.364   0.050
3.030   0.020       3.363   0.010
3.360   0.006       3.315   0.0006
3.368   0.035       3.417   0.012
3.370   0.100       3.640   0.010
3.377   0.012       3.355   0.004
3.356   0.011       3.350   0.005
3.105   0.010       3.372   0.005
4.140   0.040       4.040   0.020
3.360   0.410       4.016   0.101
