L30cm	eL30cm	L2m	eL2m
--------------------------------
3.2050  0.1000   3.3540  0.0150 
3.3470  0.0220   3.3670  0.0080 
3.3500  0.0650   3.3640  0.0550 
3.3720  0.0120   3.3570  0.0020 
3.3950  0.0700   3.3630  0.0330 
3.0650  0.0150   3.3600  0.0130 
3.3440  0.0150   3.3640  0.0100 
3.3640  0.0120   3.3590  0.0020 
3.3700  0.0150   3.3620  0.0050 
3.6500  0.0100   3.3600  0.0040 
3.0560  0.0150   3.3680  0.0030 
3.3650  0.0100   3.3370  0.0100 
3.3620  0.0230   3.3580  0.0230 
3.3530  0.0500   3.3670  0.0250 
3.3720  0.0200   3.3640  0.0100 
3.3070  0.0250   3.3630  0.0100 
3.3680  0.0120   3.3760  0.0020 
3.3640  0.0120   3.3650  0.0020 
3.4480  0.0200   3.3690  0.0400 
3.6650  0.0220   3.3650  0.0110 
3.0510  0.0250   2.3650  0.0050 
3.3800  0.0100   3.3650  0.0050 
3.0610  0.1300   3.3730  0.0210 
3.3000  0.0500   3.3500  0.0200 
3.3640  0.0400   1.3710  0.0020 
3.3600  0.0050   3.3620  0.0020 
3.6500  0.1000   3.3750  0.0200 
3.1500  0.2000   3.3300  0.0500 
3.3620  0.0200   3.3640  0.0050 
3.4000  0.0200   3.3600  0.0100 
3.3660  0.0050   3.3640  0.0050 
3.3650  0.0100   3.3660  0.0020 
3.3650  0.0050   2.3650  0.0040 
3.3630  0.0600   3.0020  0.0700 
3.3600  0.0100   3.3580  0.0050 
3.3710  0.0300   3.3590  0.0200 
3.3720  0.0200   3.3620  0.0050 
3.3570  0.0400   3.3570  0.0400 
1.3650  0.0050   3.3640  0.0050 
3.3650  0.0400   3.3640  0.0200 
3.4500  0.0700   3.3300  0.0200 
3.2800  0.1100   3.2600  0.0200 
3.4110  0.0050   3.3450  0.0050 
3.3740  0.0140   3.3630  0.0150 
3.3610  0.0050   3.3600  0.0050 
3.3650  0.0200   3.3630  0.0300 
3.3000  0.0550   3.3300  0.0480 
3.4500  0.0050   3.2650  0.0010 
3.3660  0.0100   3.3400  0.0100 
3.3590  0.0050   3.3670  0.0030 
3.3540  0.0020   3.3670  0.0020 
3.3680  0.0040   3.3680  0.0020 
3.3640  0.0120   3.3640  0.0030 
3.3400  0.0200   3.5000  0.0200 
3.3710  0.0100   3.3640  0.0040 
3.3540  0.0250   3.3650  0.0050 
3.3140  0.0400   3.3500  0.0100 
3.3620  0.0500   3.3660  0.0050 
3.3600  0.0050   3.3700  0.0700 
2.7690  0.0050   3.3700  0.0020 
3.3750  0.0050   3.3700  0.0500 
3.3600  0.1500   3.3600  0.0100 
3.3000  0.1100   3.3650  0.0200 
3.3530  0.0500   3.3630  0.0500 
3.3000  0.1000   3.3630  0.0200 
3.3650  0.0300   3.3680  0.0080 
